15, 25, 185, 191, 25, 78, -1, -1, -1, -1
16, 1, 223, 154, 68, 207, -1, -1, -1, -1
16, 2, 86, 121, 84, 256, -1, -1, -1, -1
16, 26, 345, 153, 39, 119, -1, -1, -1, -1
16, 27, 345, 153, 39, 119, -1, -1, -1, -1
17, 1, 223, 154, 68, 207, -1, -1, -1, -1
17, 2, 86, 121, 84, 256, -1, -1, -1, -1
17, 21, 306, 197, 23, 72, -1, -1, -1, -1
17, 24, 191, 185, 25, 78, -1, -1, -1, -1
18, 1, 224, 150, 73, 222, -1, -1, -1, -1
18, 2, 92, 111, 90, 274, -1, -1, -1, -1
19, 1, 225, 129, 79, 239, -1, -1, -1, -1
19, 2, 92, 111, 90, 274, -1, -1, -1, -1
20, 1, 223, 121, 84, 256, -1, -1, -1, -1
20, 2, 74, 111, 90, 274, -1, -1, -1, -1
20, 28, 45, 183, 23, 72, -1, -1, -1, -1
20, 29, 45, 183, 23, 72, -1, -1, -1, -1
21, 1, 223, 121, 84, 256, -1, -1, -1, -1
21, 2, 79, 99, 97, 294, -1, -1, -1, -1
21, 18, 189, 169, 31, 96, -1, -1, -1, -1
21, 28, 43, 180, 25, 78, -1, -1, -1, -1
22, 1, 221, 111, 90, 274, -1, -1, -1, -1
22, 2, 79, 99, 97, 294, -1, -1, -1, -1
23, 1, 221, 111, 90, 274, -1, -1, -1, -1
23, 2, 79, 99, 97, 294, -1, -1, -1, -1
24, 1, 239, 111, 90, 274, -1, -1, -1, -1
24, 2, 74, 111, 90, 274, -1, -1, -1, -1
24, 18, 201, 185, 25, 78, -1, -1, -1, -1
25, 1, 237, 99, 97, 294, -1, -1, -1, -1
25, 2, 68, 91, 112, 338, -1, -1, -1, -1
26, 1, 237, 99, 97, 294, -1, -1, -1, -1
26, 2, 68, 91, 112, 338, -1, -1, -1, -1
27, 1, 233, 106, 104, 315, -1, -1, -1, -1
27, 2, 64, 106, 104, 315, -1, -1, -1, -1
28, 1, 233, 106, 104, 315, -1, -1, -1, -1
28, 2, 68, 91, 112, 338, -1, -1, -1, -1
29, 1, 243, 73, 120, 362, -1, -1, -1, -1
29, 2, 49, 73, 120, 362, -1, -1, -1, -1
